instance_id,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
49375,The Bloody Beetroots,Irreversible (feat. Anders Friden),35,6.02E-05,0.259,185333,0.687,0.00862,G#,0.338,-3.231,Major,0.0413,135.532,4-Apr,0.114,Electronic
66905,empty_field,7th Sevens,50,0.0281,0.656,307328,0.653,0.858,F#,0.112,-11.883,Minor,0.0396,117.999,4-Apr,0.199,Electronic
58010,Alison Wonderland,Carry On,44,0.00804,0.516,241877,0.92,0.614,A,0.801,-4.37,Minor,0.0942,145.027,4-Apr,0.332,Electronic
56436,RJD2,Doin' It Right (Instrumental Version),29,0.00998,0.854,227756,0.335,0.67,G,0.0761,-9.062,Minor,0.0545,83.943,4-Apr,0.509,Electronic
62931,Massive Attack,Five Man Army - 2012 Mix/Master,43,0.00949,0.629,364347,0.697,0.235,F#,0.118,-11.293,Major,0.0765,162.266,4-Apr,0.844,Electronic
50675,Dillon Francis,We Are Impossible (feat. The Presets),33,0.00825,0.659,215280,0.912,0,F,0.543,-4.212,Major,0.0562,109.965,4-Apr,0.501,Electronic
40033,The Prodigy,Diesel Power,56,0.068,0.725,-1,0.877,3.62E-05,C,0.09,-3.496,Major,0.0646,105.919,4-Apr,0.0977,Electronic
36047,empty_field,Revolution,34,0.0236,0.715,221050,0.978,0.000493,D,0.216,-1.538,Major,0.362,125.109,4-Apr,0.418,Electronic
81428,Fatboy Slim,Sunset (Bird Of Prey) - The Aston Shuffle Remix Edit,21,0.00362,0.713,214000,0.824,0.492,B,0.311,-7.475,Minor,0.0409,120.002,4-Apr,0.454,Electronic
69214,Barely Alive,Sell Your Soul,29,0.00336,0.291,309943,0.94,0.000116,F,0.105,-4.044,Minor,0.319,174.86,4-Apr,0.146,Electronic
75870,Daniel Avery,Glitter - Jon Hopkins Remix,31,0.0422,0.6,446413,0.796,0.911,E,0.145,-12.749,Minor,0.0468,115.01,4-Apr,0.0318,Electronic
21409,Boombox Cartel,Widdit - Dabow Remix,28,0.0336,0.74,222241,0.83,0.401,C#,0.0961,-3.783,Major,0.0603,135.057,4-Apr,0.155,Electronic
78743,Big Gigantic,The Night Is Young (feat. Cherub),35,0.000556,0.585,264576,0.953,0.00949,D,0.385,-2.734,Minor,0.0797,127.989,4-Apr,0.661,Electronic
63497,Jon Hopkins,Everything Connected - Stephan Hinz Remix,48,0.00019,0.595,467816,0.942,0.72,G,0.318,-11.22,Major,0.0416,130.013,4-Apr,0.0333,Electronic
25836,PEEKABOO,Arrival,45,0.0233,0.729,274286,0.869,0.585,F,0.0944,-7.569,Minor,0.129,?,4-Apr,0.138,Electronic
51979,Portishead,All Mine,53,0.103,0.573,240627,0.686,0.0117,B,0.112,-2.706,Major,0.0549,60.191,4-Apr,0.29,Electronic
64269,Massive Attack,Paradise Circus,63,0.414,0.81,297775,0.591,0.799,G#,0.072,-13.385,Major,0.0638,136.028,4-Apr,0.297,Electronic
27048,Fabian Mazur,If U Wanted To,33,0.108,0.493,-1,0.682,0,A,0.196,-5.781,Minor,0.287,?,4-Apr,0.239,Electronic
55617,Wax Tailor,The Games You Play,45,0.0478,0.646,253333,0.649,0.00252,G,0.353,-5.259,Major,0.117,?,4-Apr,0.727,Electronic
28849,The Crystal Method,110 to the 101,25,0.149,0.419,346324,0.879,0.476,D,0.261,-2.876,Major,0.0481,109.055,4-Apr,0.61,Electronic
87650,Air,Space Maker,36,0.66,0.605,242773,0.555,0.862,F,0.28,-9.661,Minor,0.035,160.179,4-Apr,0.462,Electronic
69685,Dahu,Vessel,37,0.203,0.769,429941,0.551,0.882,A#,0.109,-12.52,Minor,0.0408,?,4-Apr,0.0618,Electronic
50080,The Presets,Ghosts,36,0.181,0.611,-1,0.676,5.35E-06,C#,0.139,-9.113,Major,0.0461,139.959,4-Apr,0.573,Electronic
83854,UNKLE,Lonely Soul,51,0.0776,0.475,533013,0.591,0.0549,A,0.109,-7.854,Minor,0.0374,?,4-Apr,0.123,Electronic
85160,Digitalism,Pogo - Shinichi Osawa Extended Remix,34,7.88E-05,0.578,367307,0.76,0.015,C,0.0538,-5.865,Major,0.0441,136.059,4-Apr,0.575,Electronic
82465,!!!,Our Love (U Can Get),43,0.169,0.685,-1,0.909,0.000663,C,0.942,-7.627,Major,0.043,119.978,4-Apr,0.962,Electronic
37340,empty_field,World (The Price Of Love) - [Radio Edit] [2015 Remastered Version],31,0.0035,0.595,222147,0.904,0.00378,D,0.0533,-6.805,Minor,0.0349,127.61,4-Apr,0.841,Electronic
32724,Boogie T,Lit,37,0.00929,0.617,-1,0.896,0.0776,A#,0.526,-0.317,Minor,0.19,149.92,4-Apr,0.546,Electronic
77227,JOYRYDE,GIVE MY LOVE,48,0.00409,0.721,260952,0.938,0.275,C#,0.38,-3.818,Major,0.0921,126.011,4-Apr,0.161,Electronic
89698,Thievery Corporation,Bario Alto,30,0.058,0.815,233893,0.509,0.877,A,0.0954,-12.991,Minor,0.0486,113.475,4-Apr,0.771,Electronic
46931,Jon Hopkins,Lost In Thought,55,0.636,0.62,376733,0.318,0.879,C#,0.118,-15.88,Major,0.0399,150.379,4-Apr,0.2,Electronic
21011,The Prodigy,Get Up Get Off,25,0.0378,0.716,259587,0.986,0.382,G,0.159,-3.46,Major,0.0676,125.971,4-Apr,0.681,Electronic
52294,Ottawan,D.I.S.C.O - English Version,49,0.111,0.714,196507,0.867,8.55E-05,G,0.325,-6.295,Minor,0.0569,122.915,4-Apr,0.872,Electronic
29034,Bonobo,Kong,59,0.173,0.542,237827,0.749,0.942,F#,0.315,-8.333,Minor,0.0277,94.031,4-Apr,0.674,Electronic
82537,Tangerine Dream,Love On A Real Train - Live,27,0.702,0.598,-1,0.573,0.938,F,0.0994,-15.523,Minor,0.0401,111.376,4-Apr,0.56,Electronic
84151,Tomáš Dvořák,Clockwise Operetta,33,0.718,0.518,233613,0.302,0.94,G,0.103,-13.57,Major,0.0336,170.025,4-Apr,0.296,Electronic
75666,Justice,Let There Be Lite - Live Version,32,0.0662,0.515,205507,0.998,0.521,C#,0.521,-2.189,Major,0.156,127.74,4-Apr,0.154,Electronic
50750,GusGus,Over,41,0.627,0.774,356576,0.741,0.673,C,0.116,-8.007,Minor,0.0919,123.973,4-Apr,0.688,Electronic
22365,Dion Timmer,Tell You Why,47,0.000409,0.567,188764,0.898,0.613,A#,0.249,-1.286,Minor,0.125,74.995,4-Apr,0.183,Electronic
20276,HNNY,My Baby,39,0.0106,0.652,341400,0.312,0.35,G#,0.0745,-17.647,Major,0.0518,105.965,4-Apr,0.211,Electronic
20659,TNGHT,Goooo,41,0.00155,0.653,201410,0.899,0.799,C#,0.148,-3.954,Major,0.035,142.999,4-Apr,0.306,Electronic
25644,Kill The Noise,FUK UR MGMT,38,0.0827,0.908,227467,0.978,0.00117,B,0.389,-1.51,Minor,0.306,127.983,4-Apr,0.729,Electronic
72418,Floex,Prenatal Hunters (Floex Revision),27,0.216,0.626,337091,0.362,0.867,C,0.681,-14.892,Major,0.0479,109.948,4-Apr,0.107,Electronic
30828,Bent,Magic Love - Radio Edit,38,0.0816,0.689,202333,0.874,0.129,A,0.272,-5.275,Minor,0.0464,121.019,4-Apr,0.961,Electronic
58304,Weval,The Most,52,0.00846,0.583,-1,0.673,0.829,D,0.303,-11.457,Major,0.0268,111.983,4-Apr,0.19,Electronic
75017,SVDDEN DEATH,Caught In A Mosh,32,0.0151,0.728,248276,0.902,0.00144,C#,0.361,-0.643,Major,0.197,145.043,4-Apr,0.22,Electronic
29586,Flux Pavilion,Emotional - Virtual Riot Remix,34,0.0143,0.502,268000,0.869,0.00691,F,0.291,-3.899,Minor,0.0981,150.119,4-Apr,0.415,Electronic
52627,New Order,Sooner Than You Think - 2015 Remastered Version,33,0.0192,0.665,312227,0.888,7.13E-05,A,0.112,-5.99,Minor,0.0409,127.628,4-Apr,0.622,Electronic
35227,Moby,Slipping Away,31,0.011,0.592,219293,0.695,2.36E-06,B,0.336,-7.988,Minor,0.0291,117.858,4-Apr,0.658,Electronic
45906,Dubloadz,Mind Eraser,28,0.00431,0.617,223300,0.944,7.81E-05,B,0.268,-2.849,Major,0.318,149.541,4-Apr,0.238,Electronic
70473,New Order,People On The High Line - Claptone Remix,27,0.000355,0.814,378688,0.877,0.455,C,0.206,-6.84,Major,0.0533,122.003,4-Apr,0.64,Electronic
31739,Wax Tailor,Ecstasy - ProleteR Remix,38,0.00226,0.657,174227,0.709,0.63,A#,0.2,-6.533,Minor,0.0579,80.499,4-Apr,0.779,Electronic
42194,UMEK,Hard Times (feat. Chris The Voice) - Radio Edit,35,0.0214,0.619,233226,0.935,0.018,A#,0.227,-5.377,Minor,0.163,?,4-Apr,0.309,Electronic
46167,Trentemøller,Moan - Trentemøller Dub Remix,36,0.196,0.746,442189,0.459,0.871,C#,0.182,-13.506,Major,0.066,120.015,4-Apr,0.351,Electronic
55154,Sofa Surfers,Passin Tru,31,0.178,0.709,188680,0.677,0.00362,F#,0.0974,-9.092,Major,0.0661,99.029,4-Apr,0.544,Electronic
87762,Jauz,Soldier,44,0.0161,0.683,182000,0.68,0,A#,0.319,-5.861,Minor,0.0376,145.042,3-Apr,0.557,Electronic
78712,The Chemical Brothers,Asleep From Day,43,0.581,0.515,287227,0.574,0.575,E,0.185,-9.8,Major,0.028,136.993,4-Apr,0.274,Electronic
70956,Bonobo,Ghost Ship,36,0.00163,0.736,241733,0.659,0.806,C,0.0905,-6.549,Major,0.0352,108.871,4-Apr,0.285,Electronic
63892,Virtual Riot,Borg,41,0.0133,0.569,265100,0.96,0.00135,C#,0.0734,-4.513,Major,0.296,75.016,4-Apr,0.0413,Electronic
73313,Tiga,Bugatti (feat. Pusha T) - Jauz Remix,36,0.122,0.878,330000,0.921,0.0218,A,0.258,-5.162,Major,0.132,127.996,4-Apr,0.487,Electronic
87096,QUIX,Hero (feat. David Shane),50,0.0049,0.766,232275,0.839,0.0108,C#,0.114,-5.123,Major,0.041,124.992,4-Apr,0.113,Electronic
53681,Justice,Heavy Metal,41,0.000367,0.518,270859,0.702,0.841,A,0.396,-5.039,Major,0.0299,117.014,4-Apr,0.23,Electronic
90969,Apashe,Do It feat. Black Prez,51,0.00988,0.702,219200,0.807,0.00971,B,0.111,-2.688,Major,0.206,75.063,4-Apr,0.363,Electronic
89024,Claes Rosen,Starlight - Blood Groove & Kikis Remix,29,0.000266,0.866,406605,0.697,0.0401,C,0.0528,-7.201,Major,0.067,124.014,4-Apr,0.776,Electronic
83711,Minnesota,Final Frontier,24,0.00324,0.466,214000,0.907,3.02E-06,G#,0.0901,-5.603,Minor,0.348,149.965,4-Apr,0.332,Electronic
88009,3LAU,Arcana,42,0.00268,0.483,195200,0.898,0.944,E,0.136,-5.623,Minor,0.0406,149.991,4-Apr,0.0393,Electronic
88574,Primal Scream,Movin' on Up,50,0.0846,0.508,230533,0.808,0.000727,C,0.0719,-12.496,Minor,0.0403,94.255,4-Apr,0.209,Electronic
51545,Flux Pavilion,Feels Good,26,0.00413,0.482,228857,0.758,0.0904,E,0.2,-3.333,Minor,0.057,125.005,4-Apr,0.253,Electronic
90244,Kayzo,Welcome to the Doghouse,37,0.000902,0.569,264000,0.786,0.426,F,0.107,-4.375,Minor,0.137,150.022,4-Apr,0.396,Electronic
37801,The Knife,Neverland,30,0.0086,0.561,218200,0.821,0.00347,B,0.103,-8.677,Minor,0.0289,119.711,4-Apr,0.854,Electronic
30372,SVDDEN DEATH,Rock Like This - LAXX Remix,31,0.000516,0.571,183985,0.923,0.215,C#,0.143,-2.597,Major,0.0658,150.22,4-Apr,0.465,Electronic
59101,Gramatik,Future Crypto,34,0.166,0.637,206118,0.472,0.105,B,0.143,-4.984,Minor,0.108,84.599,4-Apr,0.22,Electronic
76768,David Holmes,Ruben's In,32,0.172,0.795,185333,0.518,0.0597,C#,0.17,-11.736,Major,0.0986,115.008,4-Apr,0.585,Electronic
26688,Sulumi,Machine It (Shirobon Remix),28,0.00105,0.8,257707,0.903,0.443,G,0.0833,-5.277,Major,0.0727,123.876,4-Apr,0.634,Electronic
30263,PEEKABOO,Babatunde - LUZCID Remix,26,0.001,0.563,236712,0.631,0.00104,C,0.102,-5.682,Major,0.199,146.211,4-Apr,0.208,Electronic
89737,Flux Pavilion,Daydreamer (feat. Example) - Radio Edit,41,0.00219,0.539,212973,0.914,0.0806,A,0.199,-5.786,Minor,0.0345,141.35,4-Apr,0.432,Electronic
87236,Metronomy,Hang Me Out To Dry (With Robyn),44,0.4,0.381,230173,0.423,0.0289,C#,0.149,-12.356,Major,0.0517,130.07,4-Apr,0.24,Electronic
85035,Nightmares On Wax,Ethnic Majority,39,0.000307,0.729,271827,0.464,0.89,C#,0.0336,-11.667,Major,0.0354,?,4-Apr,0.576,Electronic
49058,Trentemøller,Miss You,55,0.946,0.542,247818,0.16,0.928,G,0.263,-21.672,Minor,0.0365,126.921,4-Apr,0.198,Electronic
33015,Digitalism,Indigo Skies,27,0.0108,0.489,254453,0.776,0.135,A,0.273,-6.088,Major,0.0351,75.516,4-Apr,0.436,Electronic
83258,Booka Shade,In White Rooms,51,0.000962,0.8,326840,0.65,0.82,C,0.231,-9.145,Major,0.0587,?,4-Apr,0.096,Electronic
46721,LCD Soundsystem,Dance Yrself Clean,63,0.00557,0.739,536471,0.611,0.725,B,0.04,-9.829,Major,0.0622,?,4-Apr,0.794,Electronic
72771,Excision,Exterminate,43,0.0101,0.602,214000,0.986,0.00219,C,0.315,-0.563,Major,0.531,75.026,4-Apr,0.0464,Electronic
45171,DJ Shadow,Depth Charge,31,0.0111,0.355,293172,0.674,0.919,G#,0.0901,-9.093,Major,0.0513,90.954,5-Apr,0.0356,Electronic
29447,BROHUG,Knuckles,34,0.00591,0.644,186240,0.927,0.448,E,0.363,-4.651,Major,0.0508,125.001,4-Apr,0.316,Electronic
52178,Chase & Status,International - Skrillex Remix,39,9.19E-05,0.519,239667,0.818,0.00467,C#,0.426,-6.218,Major,0.0596,183.975,4-Apr,0.544,Electronic
48460,Zomboy,Airborne - MUST DIE! Remix,33,0.00298,0.45,-1,0.915,0.446,F,0.771,-1.404,Minor,0.236,137.948,4-Apr,0.156,Electronic
49721,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",96,0.153,0.841,212500,0.798,3.33E-06,C#,0.0618,-4.206,Minor,0.229,95.948,4-Apr,0.591,Electronic
52835,Jaja,Chan Chara,50,0.293,0.497,-1,0.414,0.879,A,0.108,-14.626,Major,0.133,201.947,3-Apr,0.511,Electronic
32270,NGHTMRE,On The Run,44,0.000449,0.43,231637,0.812,0.00899,A#,0.0531,-5.303,Minor,0.0669,149.998,4-Apr,0.286,Electronic
62091,Ray Volpe,Mind Games,31,4.27E-05,0.629,278400,0.914,0.544,C#,0.108,-2.577,Major,0.0509,149.991,4-Apr,0.183,Electronic
80850,Excision,Deviance,36,0.00316,0.678,272098,0.746,0.0192,B,0.0983,-6.178,Minor,0.278,145.096,4-Apr,0.426,Electronic
25145,A-Trak,"Ride For Me (with Young Thug, feat. 24hrs)",42,0.0797,0.83,241173,0.768,0,E,0.139,-3.552,Minor,0.229,?,4-Apr,0.573,Electronic
57179,Liquid Stranger,"Hydroplane Feat. Warrior Queen, HARD KNOCK",39,0.0185,0.802,194590,0.793,0,B,0.363,-4.578,Major,0.198,150.143,4-Apr,0.564,Electronic
67767,Ray Volpe,Full Control,26,0.00335,0.557,300083,0.979,0.473,C,0.333,-3.08,Major,0.196,?,4-Apr,0.362,Electronic
84128,Snavs,Epoch,41,0.0128,0.574,157524,0.67,0.601,A,0.645,-3.68,Major,0.207,149.975,4-Apr,0.513,Electronic
86166,Burial,Ghost Hardware,39,0.258,0.551,293093,0.865,0.845,C,0.282,-8.71,Major,0.164,?,4-Apr,0.489,Electronic
87440,Air,Don't Be Light,35,0.0688,0.517,378840,0.696,0.789,E,0.122,-7.794,Major,0.0521,168.422,4-Apr,0.343,Electronic
53267,Jackal,Shakedown,39,0.11,0.777,-1,0.667,0.000861,G,0.0958,-5.034,Major,0.358,170.121,4-Apr,0.69,Electronic
24341,Space Jesus,Ichabod Crane,40,0.00883,0.687,180233,0.698,0.0977,B,0.11,-3.728,Minor,0.437,112.494,3-Apr,0.591,Electronic
66406,Fatboy Slim,Eat Sleep Rave Repeat,38,0.0928,0.887,346533,0.749,1.56E-06,G,0.315,-7.323,Major,0.223,127.999,4-Apr,0.697,Electronic
40462,Destructo,All Nite (feat. E-40 & Too $hort),27,0.00885,0.897,204016,0.762,0.016,E,0.0824,-4.48,Minor,0.0625,126.035,3-Apr,0.43,Electronic
55822,Boards of Canada,Smokes Quantity / 1986 Summer Fire,30,0.638,0.57,-1,0.21,0.888,G#,0.104,-15.555,Minor,0.0367,99.091,4-Apr,0.0388,Electronic
22927,The Knife,Marble House,37,0.00331,0.467,-1,0.637,0.000548,C,0.337,-8.652,Major,0.0342,179.559,4-Apr,0.232,Electronic
66214,Tropkillaz,Hotdamn!,36,0.00544,0.664,184434,0.893,0.000193,C#,0.131,-4.501,Major,0.201,189.988,4-Apr,0.401,Electronic
45062,Nightmares On Wax,Deep Down,34,0.136,0.792,379600,0.664,0.824,A#,0.121,-10.403,Minor,0.0638,109.99,4-Apr,0.733,Electronic
88543,Massappeals,7even OH!,30,0.00108,0.678,237000,0.711,0.043,F#,0.22,-8.911,Minor,0.0568,165.064,4-Apr,0.305,Electronic
61086,Champagne Drip,Deckard,23,0.00277,0.331,216279,0.923,0.0147,F#,0.126,-3.086,Minor,0.327,171.858,4-Apr,0.208,Electronic
27808,Dombresky,Overtime,36,0.224,0.759,228095,0.794,0.382,B,0.0855,-4.321,Major,0.0817,?,4-Apr,0.289,Electronic
43242,TroyBoi,Kurta Kente,31,0.0294,0.86,251009,0.68,0.838,D,0.198,-4.32,Major,0.0829,109.995,4-Apr,0.237,Electronic
61549,empty_field,Down With Me - VIP,32,0.0139,0.498,-1,0.945,0.647,F,0.338,-0.003,Minor,0.137,149.888,4-Apr,0.179,Electronic
22948,Daft Punk,Harder Better Faster Stronger - The Neptunes Remix,38,0.608,0.85,312507,0.74,0.000782,B,0.302,-6.327,Minor,0.0552,123.451,4-Apr,0.907,Electronic
27106,GANZ,Whatever You Choose,39,0.024,0.471,-1,0.591,0.000339,C#,0.148,-11.088,Major,0.0412,71.047,4-Apr,0.169,Electronic
40989,Lapti,First Date,38,0.128,0.458,164456,0.826,2.34E-05,F#,0.343,-7.604,Major,0.166,110.245,4-Apr,0.494,Electronic
80672,Gammer,Out With The Old,36,0.0172,0.285,-1,0.902,0.32,F#,0.171,-3.128,Minor,0.146,150.038,4-Apr,0.109,Electronic
48275,Kraftwerk,Spacelab - 2009 Remastered Version,38,0.0412,0.527,357107,0.751,0.798,G#,0.644,-8.764,Major,0.0361,123.491,4-Apr,0.135,Electronic
83862,QUIX,Deep Home,33,0.285,0.845,-1,0.849,0.00954,B,0.0867,-3.01,Minor,0.0444,126.044,4-Apr,0.323,Electronic
38747,empty_field,Olvidela Compa,44,0.153,0.792,265133,0.549,0.379,F,0.343,-9.855,Major,0.0456,120.013,4-Apr,0.476,Electronic
44217,Fluke,Snapshot,26,0.000107,0.521,249000,0.881,0.0192,C#,0.106,-8.812,Minor,0.0471,127.061,4-Apr,0.317,Electronic
58829,DAVI,Two Suns In The Sky - Original Mix,39,0.0134,0.808,445723,0.451,0.776,C,0.106,-12.013,Major,0.0714,120.961,4-Apr,0.353,Electronic
51280,Aphex Twin,Windowlicker,53,0.132,0.698,368400,0.789,0.0091,G#,0.366,-4.936,Major,0.163,123.016,4-Apr,0.492,Electronic
66861,RL Grime,Take It Away,55,0.367,0.594,236522,0.815,0,G#,0.0948,-3.47,Major,0.0423,137.933,4-Apr,0.339,Electronic
76146,LCD Soundsystem,All My Friends,61,0.148,0.701,462267,0.788,0.625,D,0.0977,-5.611,Major,0.0425,142.584,4-Apr,0.795,Electronic
52784,Gent & Jawns,Mahal,39,0.0139,0.597,-1,0.951,0.615,G#,0.148,-5.21,Major,0.062,159.968,4-Apr,0.251,Electronic
22744,SVDDEN DEATH,Last Life,34,0.00187,0.774,248571,0.944,0.191,A#,0.111,0.072,Minor,0.0782,140.063,4-Apr,0.369,Electronic
82556,Dillon Francis,Need You,53,0.00171,0.721,197442,0.925,0.0545,E,0.547,-3.208,Minor,0.196,111.961,4-Apr,0.37,Electronic
46073,UNKLE,Mayday,24,0.115,0.563,200800,0.868,0.293,D,0.108,-4.691,Major,0.0535,117.028,4-Apr,0.535,Electronic
45853,Riot Ten,Missing You (feat. blvkkhvrt.),36,0.055,0.651,240009,0.418,8.56E-05,C,0.103,-9.306,Major,0.0352,139.997,4-Apr,0.104,Electronic
83023,Global Communication,5 23,42,0.385,0.594,322787,0.481,0.845,E,0.131,-14.483,Minor,0.047,109.941,4-Apr,0.585,Electronic
77016,Electric Mantis,Daybreak,46,0.17,0.77,-1,0.638,0.00532,A#,0.0972,-5.402,Major,0.0682,141.935,4-Apr,0.299,Electronic
27407,Todd Terje,Svensk Sås,39,0.528,0.7,163613,0.893,0.955,C#,0.695,-10.191,Major,0.0649,140.046,4-Apr,0.801,Electronic
85461,Nightmares On Wax,Morse,51,0.246,0.675,381173,0.496,0.888,C#,0.155,-14.236,Minor,0.0622,80.958,4-Apr,0.885,Electronic
91295,Big Gigantic,Got The Love (feat. Jennifer Hartswick) - Kill The Zo Remix,31,0.00892,0.566,322105,0.879,0.36,B,0.142,-4.461,Major,0.11,76.01,4-Apr,0.295,Electronic
56526,Apashe,Golden Empire feat. Zitaa - Original Mix,35,0.0564,0.665,360442,0.65,0.447,A#,0.0983,-6.782,Major,0.0335,100.014,4-Apr,0.3,Electronic
62438,Morcheeba,The Sea,44,0.0188,0.538,348053,0.742,0.09,B,0.0749,-7.924,Minor,0.038,?,4-Apr,0.273,Electronic
48424,Hot Chip,Crap Kraft Dinner,35,0.0177,0.829,394013,0.263,0.0435,C,0.0826,-12.35,Major,0.0377,104.992,4-Apr,0.357,Electronic
28328,Boards of Canada,Slow This Bird Down,37,0.635,0.581,369147,0.374,0.937,B,0.368,-13.496,Minor,0.0312,?,4-Apr,0.0399,Electronic
75603,Daft Punk,Flynn Lives,45,0.95,0.45,202147,0.278,0.646,C#,0.185,-14.318,Major,0.034,108.004,4-Apr,0.0421,Electronic
64805,Bellorum,Left Side,25,0.00499,0.594,204800,0.871,0.388,E,0.0935,-3.477,Major,0.0421,150.009,4-Apr,0.63,Electronic
81365,Sikdope,Mind (feat. Star Kim),36,0.0196,0.728,232500,0.896,0.252,C#,0.101,-4.597,Minor,0.058,128.001,4-Apr,0.269,Electronic
63355,Baauer,Hate Me - VIP,31,0.00694,0.637,175983,0.708,0.142,F,0.344,-7.792,Minor,0.0793,99.987,4-Apr,0.733,Electronic
46901,Hydraulix,Flatline,30,0.0197,0.774,243837,0.606,0.438,C#,0.161,-6.89,Major,0.182,74.99,4-Apr,0.375,Electronic
44079,12th Planet,Whoops (feat. Pennybirdrabbit),27,0.0749,0.592,314561,0.93,0.000654,C#,0.242,-1.419,Major,0.0606,?,4-Apr,0.473,Electronic
32688,Adventure Club,Unleash (Life In Color Anthem 2014) [feat. Zak Waters],26,0.00444,0.701,331000,0.607,4.09E-05,C#,0.0433,-4.514,Minor,0.0547,127.979,4-Apr,0.342,Electronic
75958,empty_field,MDR,54,0.00244,0.651,179630,0.93,0.393,E,0.497,-3.961,Minor,0.248,?,4-Apr,0.0996,Electronic
27879,Alison Wonderland,High - QUIX & Enschway Remix,36,0.00584,0.499,-1,0.608,1.68E-05,G#,0.134,-7.316,Major,0.0681,75.039,4-Apr,0.0724,Electronic
88294,Carbon Based Lifeforms,Central Plain,36,0.23,0.404,458667,0.61,0.949,D,0.101,-12.952,Minor,0.0367,179.938,4-Apr,0.2,Electronic
80014,David Holmes,7-29-04 The Day Of,34,0.00162,0.356,191573,0.917,0.803,C,0.0877,-7.842,Major,0.0811,110.192,4-Apr,0.799,Electronic
33141,Just A Gent,404,37,0.0863,0.771,180004,0.959,0.436,G#,0.0536,-2.992,Minor,0.0572,139.952,4-Apr,0.663,Electronic
90524,Bassnectar,Concussive (Bassnectar vs. Renholdër),47,2.33E-05,0.416,275200,0.925,0.838,E,0.125,-3.94,Major,0.0763,74.99,4-Apr,0.0971,Electronic
91302,YOOKiE,PHiRE,26,0.0206,0.792,192323,0.969,0.00869,C,0.644,-3.488,Major,0.139,145.069,4-Apr,0.667,Electronic
81568,Kasabian,Fire,66,0.0874,0.525,252280,0.741,0.147,A#,0.117,-5.643,Major,0.0311,117.031,4-Apr,0.179,Electronic
89847,Aim,The Force,50,0.0128,0.922,245947,0.701,0.000822,E,0.0941,-6.679,Minor,0.0868,101.996,4-Apr,0.54,Electronic
